Date,Total COVID-19 Patients,ICU Patients,Vent Patients,PPE,Capacity,Surge Capacity,Beds Occupied
10/07/2020,1003,228,109,0,16476,19771.2,13022
06/07/2020,1186,316,165,0,16476,19771.2,12102
07/31/2021,475,121,0,0,16476,19771.2,16476
06/08/2021,452,108,71,0,16476,19771.2,13057
06/26/2021,232,60,33,0,16476,19771.2,12927
02/25/2022,1002,198,0,0,16476,19771.2,16476
04/18/2020,1307,398,230,6,16476,19771.2,10379
11/21/2021,849,213,0,0,16476,19771.2,16476
11/03/2020,1026,222,97,0,16476,19771.2,12847
04/30/2020,1550,372,208,2,16476,19771.2,11377
01/07/2021,3000,568,366,0,16476,19771.2,13414
12/08/2021,1208,250,0,0,16476,19771.2,16476
10/14/2020,1007,230,102,0,16476,19771.2,13083
03/15/2022,433,95,0,0,16476,19771.2,16476
01/04/2022,2798,512,0,0,16476,19771.2,16476
08/27/2021,1608,411,0,0,16476,19771.2,16476
01/08/2021,2991,547,351,0,16476,19771.2,13603
12/24/2020,2577,530,294,0,16476,19771.2,13122
09/25/2020,965,221,117,0,16476,19771.2,13004
07/29/2021,448,122,0,0,16476,19771.2,16476
03/23/2022,379,83,0,0,16476,19771.2,16476
07/18/2021,296,79,41,0,16476,19771.2,13021
01/18/2021,3151,584,354,0,16476,19771.2,13267
09/24/2020,982,219,112,0,16476,19771.2,13136
11/07/2020,1062,215,91,0,16476,19771.2,12971
04/10/2021,1087,249,133,0,16476,19771.2,13195
03/05/2022,709,149,0,0,16476,19771.2,16476
10/16/2021,1450,391,0,0,16476,19771.2,16476
05/10/2020,1555,351,187,0,16476,19771.2,11790
04/09/2021,1106,241,125,0,16476,19771.2,13266
07/15/2021,237,67,37,0,16476,19771.2,13338
06/14/2021,321,83,57,0,16476,19771.2,12942
03/02/2021,1345,305,200,0,16476,19771.2,12792
02/11/2022,1953,374,0,0,16476,19771.2,16476
01/28/2021,2706,515,322,0,16476,19771.2,13418
01/27/2021,2868,537,332,0,16476,19771.2,13468
02/11/2021,2136,451,289,0,16476,19771.2,13459
05/04/2021,861,225,126,0,16476,19771.2,13197
05/18/2021,604,190,108,0,16476,19771.2,12878
02/03/2022,2578,466,0,0,16476,19771.2,16476
12/23/2020,2586,532,290,0,16476,19771.2,13182
07/19/2020,1186,249,127,0,16476,19771.2,12656
02/23/2021,1621,315,196,0,16476,19771.2,12918
10/05/2020,925,213,101,0,16476,19771.2,12880
04/14/2022,147,29,0,0,16476,19771.2,16476
10/24/2021,1222,308,0,0,16476,19771.2,16476
10/01/2020,913,210,107,0,16476,19771.2,13284
11/02/2021,954,274,0,0,16476,19771.2,16476
08/30/2020,1090,251,132,2,16476,19771.2,12629
04/22/2020,1374,419,244,3,16476,19771.2,10957
05/27/2020,1459,390,203,0,16476,19771.2,12176
08/06/2020,1349,284,157,0,16476,19771.2,12953
04/01/2021,1046,249,134,0,16476,19771.2,13210
08/22/2021,1310,360,0,0,16476,19771.2,16476
09/20/2020,939,263,126,0,16476,19771.2,12725
11/11/2021,854,212,0,0,16476,19771.2,16476
12/16/2020,2349,511,257,0,16476,19771.2,13398
02/05/2022,2382,451,0,0,16476,19771.2,16476
02/16/2022,1568,320,0,0,16476,19771.2,16476
04/03/2021,1022,233,127,0,16476,19771.2,13016
05/20/2020,1536,370,202,0,16476,19771.2,12212
01/30/2022,2949,525,0,0,16476,19771.2,16476
11/06/2020,1057,216,96,0,16476,19771.2,12557
04/04/2022,230,37,0,0,16476,19771.2,16476
11/11/2020,1265,250,106,0,16476,19771.2,13302
08/02/2020,1173,267,138,0,16476,19771.2,12765
05/31/2021,481,139,84,0,16476,19771.2,12835
10/23/2021,1228,314,0,0,16476,19771.2,16476
01/06/2021,2925,537,357,0,16476,19771.2,13597
05/30/2021,500,142,78,0,16476,19771.2,12910
06/13/2021,323,86,62,0,16476,19771.2,13026
06/12/2020,1026,297,143,0,16476,19771.2,12684
05/24/2020,1351,354,192,0,16476,19771.2,11904
06/10/2020,1155,296,139,2,16476,19771.2,12594
03/22/2021,1000,214,124,0,16476,19771.2,12760
04/01/2022,266,42,0,0,16476,19771.2,16476
09/03/2020,1130,257,123,1,16476,19771.2,13043
03/01/2022,855,164,0,0,16476,19771.2,16476
02/18/2021,1828,364,218,0,16476,19771.2,13309
11/19/2020,1569,303,123,0,16476,19771.2,13174
08/05/2020,1304,283,144,0,16476,19771.2,12915
06/11/2020,1069,273,138,0,16476,19771.2,12642
02/01/2022,2924,506,0,0,16476,19771.2,16476
06/30/2020,902,230,98,0,16476,19771.2,12567
02/22/2022,1199,240,0,0,16476,19771.2,16476
07/14/2021,240,68,41,0,16476,19771.2,13241
05/28/2020,1502,416,195,0,16476,19771.2,12396
06/17/2021,307,75,41,0,16476,19771.2,13361
10/17/2020,993,219,100,0,16476,19771.2,13231
12/17/2021,1403,336,0,0,16476,19771.2,16476
08/29/2021,1645,426,0,0,16476,19771.2,16476
08/19/2020,1243,280,145,0,16476,19771.2,12985
04/14/2020,1282,422,276,7,16476,19771.2,10485
04/13/2022,152,34,0,0,16476,19771.2,16476
01/08/2022,3478,558,0,0,16476,19771.2,16476
12/07/2021,1131,252,0,0,16476,19771.2,16476
08/26/2021,1537,392,0,0,16476,19771.2,16476
01/19/2021,3173,588,347,0,16476,19771.2,13318
04/23/2021,1057,248,136,0,16476,19771.2,13395
03/07/2022,636,139,0,0,16476,19771.2,16476
12/21/2020,2442,530,282,0,16476,19771.2,12916
05/07/2020,1613,371,203,0,16476,19771.2,11793
08/02/2021,534,137,0,0,16476,19771.2,16476
10/18/2020,972,205,95,0,16476,19771.2,12516
06/18/2020,857,241,129,0,16476,19771.2,12594
09/03/2021,1892,466,0,0,16476,19771.2,16476
04/05/2022,226,41,0,0,16476,19771.2,16476
04/25/2020,1405,357,223,3,16476,19771.2,11123
04/18/2022,152,26,0,0,16476,19771.2,16476
09/15/2020,1015,228,104,2,16476,19771.2,12705
04/17/2020,1308,400,224,6,16476,19771.2,10889
06/22/2021,263,62,36,0,16476,19771.2,12970
01/11/2022,3845,589,0,0,16476,19771.2,16476
06/24/2020,886,235,107,0,16476,19771.2,12714
05/12/2020,1529,364,201,0,16476,19771.2,11692
03/11/2022,507,115,0,0,16476,19771.2,16476
09/27/2020,868,198,103,0,16476,19771.2,12633
01/23/2021,2927,567,320,0,16476,19771.2,13298
08/24/2020,1127,256,134,1,16476,19771.2,12774
09/09/2020,1072,252,121,1,16476,19771.2,12730
07/19/2021,281,79,40,0,16476,19771.2,12886
10/19/2021,1386,364,0,0,16476,19771.2,16476
04/11/2021,1059,246,137,0,16476,19771.2,13035
09/21/2021,2211,567,0,0,16476,19771.2,16476
06/05/2021,443,112,82,0,16476,19771.2,13212
02/06/2021,2376,465,294,0,16476,19771.2,13320
03/19/2021,1035,217,114,0,16476,19771.2,13210
12/22/2021,1550,379,0,0,16476,19771.2,16476
04/22/2022,179,31,0,0,16476,19771.2,16476
11/29/2020,1628,365,155,0,16476,19771.2,12334
01/30/2021,2632,507,311,0,16476,19771.2,13346
12/15/2021,1401,324,0,0,16476,19771.2,16476
09/01/2021,1854,439,0,0,16476,19771.2,16476
